ID,Area,AreaReal,Perimeter,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,BoundingBoxArea,BoundingBoxAreaReal,Diameter,DiameterReal,Centroid_1,Centroid_2
808,142,0.00810774830309565,130,323,169,336,190,273,0.0155874315967966,22.8254244210267,0.17247446975624,329.5,179.5
816,37,0.00211258230432774,78,531,171,540,181,90,0.00513871371322964,12.8062484748657,0.0967671345131451,535.5,176
817,33,0.0018841950281842,32,120,172,125,181,45,0.00256935685661482,10.295630140987,0.0777962905144185,122.5,176.5
819,311,0.0177571107201602,228,265,166,285,194,560,0.0319742186600955,30.2324329156619,0.228443631118923,275,180
827,50,0.00285484095179424,68,845,172,854,181,81,0.00462484234190667,11.4017542509914,0.0861544338653852,849.5,176.5
847,176,0.0100490401503157,186,424,174,446,194,440,0.0251226003757893,25,0.188906092801233,435,184
856,49,0.00279774413275836,62,312,176,319,188,84,0.00479613279901433,12.369316876853,0.0934655728730659,315.5,182
864,67,0.00382548687540429,90,240,177,251,188,121,0.00690871510334207,14.8660687473185,0.112331638494818,245.5,182.5
865,36,0.00205548548529186,52,261,176,266,187,55,0.00314032504697367,11.1803398874989,0.0844813729734881,263.5,181.5
869,183,0.0104487178835669,232,451,161,471,180,380,0.0216967912336362,22.2036033111745,0.1677758379049,461,170.5
879,88,0.00502452007515787,134,890,160,904,181,294,0.0167864647965501,22.8473193175917,0.172639912930735,897,170.5
881,74,0.00422516460865548,102,345,178,361,189,176,0.0100490401503157,17.0880074906351,0.129121149152563,353,183.5
902,107,0.00610935963683968,114,365,165,378,184,247,0.0141029143018636,20.6155281280883,0.155775954788443,371.5,174.5
908,94,0.00536710098937318,108,127,169,142,185,240,0.0137032365686124,20.6155281280883,0.155775954788443,134.5,177
912,124,0.00708000556044972,168,824,174,838,198,336,0.0191845311960573,25,0.188906092801233,831,186
914,42,0.00239806639950716,62,621,182,626,195,65,0.00371129323733252,13.3416640641263,0.100812865192829,623.5,188.5
921,72,0.00411097097058371,68,841,182,850,196,126,0.00719419919852149,14.8660687473185,0.112331638494818,845.5,189
932,135,0.00770807056984446,158,111,183,126,205,330,0.018841950281842,22.3606797749979,0.168962745946976,118.5,194
942,88,0.00502452007515787,100,506,177,520,192,210,0.0119903319975358,18.4390889145858,0.139330249666757,513,184.5
945,244,0.0139316238447559,254,741,185,761,207,440,0.0251226003757893,25.5538646783613,0.193091229294427,751,196
947,148,0.00845032921731096,130,77,186,92,206,300,0.0171290457107655,23.0217288664427,0.173957793987562,84.5,196
953,178,0.0101632337883875,164,540,168,555,193,375,0.0214113071384568,25.6320112359526,0.193681723728844,547.5,180.5
961,133,0.00759387693177269,138,628,179,640,198,228,0.0130180747401818,21.0237960416286,0.158860926642964,634,188.5
