ID,Area,AreaReal,Perimeter,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,BoundingBoxArea,BoundingBoxAreaReal,Diameter,DiameterReal,Centroid_1,Centroid_2
35,73,0.0041680677896196,74,634,44,646,61,204,0.0116477510833205,17.1172427686237,0.129342058038034,640,52.5
56,118,0.00673742464623441,62,705,58,716,76,198,0.0113051701691052,18.9736659610103,0.143369644112408,710.5,67
78,88,0.00502452007515787,50,248,69,260,80,132,0.0075367801127368,15,0.11334365568074,254,74.5
81,66,0.0037683900563684,62,396,71,403,90,133,0.00759387693177269,19.6468827043885,0.148456633896406,399.5,80.5
83,284,0.0162154966061913,166,443,71,467,96,600,0.0342580914215309,29.6816441593117,0.224281737042084,455,83.5
87,155,0.00885000695056215,112,664,74,680,107,528,0.0301471204509472,33.9558536926993,0.256578705952726,672,90.5
90,205,0.0117048479023564,150,475,67,495,99,640,0.0365419641829663,32.3882694814033,0.244733657613012,485,83
103,78,0.00445355188479902,56,263,80,270,96,112,0.0063948437320191,16.1245154965971,0.121840768831004,266.5,88
107,128,0.00730839283659326,104,308,83,327,100,323,0.0184422725485908,21.4009345590327,0.16171067719367,317.5,91.5
111,108,0.00616645645587557,88,220,84,237,102,306,0.0174716266249808,22.0227155455452,0.166409005863277,228.5,93
118,95,0.00542419780840906,58,650,87,659,103,144,0.00822194194116742,16.0312195418814,0.121135801859823,654.5,95
141,139,0.007936457845988,100,600,99,614,124,350,0.0199838866625597,25.4950975679639,0.192647170686011,607,111.5
153,142,0.00810774830309565,84,178,101,191,122,273,0.0155874315967966,21.0237960416286,0.158860926642964,184.5,111.5
164,129,0.00736548965562915,98,638,106,654,131,400,0.0228387276143539,27.3130005674953,0.206383688795336,646,118.5
180,64,0.00365419641829663,54,591,119,598,135,112,0.0063948437320191,16.4924225024706,0.124620763830754,594.5,127
182,79,0.0045106487038349,78,771,119,784,139,260,0.0148451729493301,21.1896201004171,0.160113933644491,777.5,129
191,82,0.00468193916094256,54,81,123,90,138,135,0.00770807056984446,15.2970585407784,0.115588302411607,85.5,130.5
197,101,0.00576677872262437,58,185,124,195,140,160,0.00913549104574158,16.1554944214035,0.122074853136778,190,132
209,103,0.00588097236069614,68,627,128,643,139,176,0.0100490401503157,18.0277563773199,0.136222120768481,635,133.5
212,363,0.0207261453100262,218,382,122,407,168,1150,0.0656613418912676,47.0744091837593,0.355705708393218,394.5,145
218,80,0.00456774552287079,60,368,130,375,148,126,0.00719419919852149,18,0.136012386816888,371.5,139
221,208,0.0118761383594641,126,473,116,493,141,500,0.0285484095179424,25.8069758011279,0.195003798624281,483,128.5
227,106,0.0060522628178038,92,745,133,762,146,221,0.0126183970069306,17.464249196573,0.131964123177267,753.5,139.5
231,93,0.00531000417033729,68,426,125,435,142,153,0.00873581331249038,17.2626765016321,0.130440990768599,430.5,133.5
247,146,0.00833613557923919,136,590,139,611,161,462,0.0263787303945788,23.6008474424119,0.17833375508576,600.5,150
254,82,0.00468193916094256,76,687,141,699,158,204,0.0116477510833205,17.0293863659264,0.12867819364759,693,149.5
263,182,0.010391621064531,142,480,144,500,167,460,0.026264536756507,25.0798724079689,0.189509628181714,490,155.5
265,62,0.00354000278022486,44,80,145,86,159,84,0.00479613279901433,14.0356688476182,0.106056934474222,83,152
267,125,0.00713710237948561,86,180,145,194,164,266,0.0151877538635454,19.6468827043885,0.148456633896406,187,154.5
269,197,0.0112480733500693,114,513,145,528,166,315,0.0179854979963037,22.8254244210267,0.17247446975624,520.5,155.5
272,67,0.00382548687540429,70,448,146,458,161,150,0.00856452285538273,16.1554944214035,0.122074853136778,453,153.5
281,214,0.0122187192736794,140,614,150,631,175,425,0.0242661480902511,25.3179778023443,0.191308810570769,622.5,162.5
282,284,0.0162154966061913,188,638,150,663,176,650,0.0371129323733252,28.3019433961698,0.213856381826084,650.5,163
283,87,0.00496742325612198,70,143,151,154,167,176,0.0100490401503157,16.5529453572468,0.125078089271592,148.5,159
296,112,0.0063948437320191,80,710,140,724,159,266,0.0151877538635454,19.1049731745428,0.14436183341901,717,149.5
298,179,0.0102203306074234,154,760,153,780,178,500,0.0285484095179424,25.7099202643649,0.194270423334896,770,165.5
302,219,0.0125042033688588,152,802,154,823,178,504,0.028776796794086,26.4007575648882,0.199490558343025,812.5,166
323,218,0.0124471065498229,114,546,139,561,166,405,0.0231242117095334,27.459060435492,0.207487352754468,553.5,152.5
336,65,0.00371129323733252,38,98,163,105,173,70,0.00399677733251194,12.2065556157337,0.0922357091171681,101.5,168
340,309,0.0176429170820884,138,266,165,286,194,580,0.0331161550408132,29.6141857899217,0.223772005162556,276,179.5
345,74,0.00422516460865548,74,237,167,251,188,294,0.0167864647965501,24.6981780704569,0.186625452743965,244,177.5
352,137,0.00782226420791623,76,324,169,336,189,240,0.0137032365686124,21.1896201004171,0.160113933644491,330,179
354,169,0.00964936241706454,112,690,168,708,188,360,0.0205548548529186,23.6008474424119,0.17833375508576,699,178
355,63,0.00359709959926075,52,135,170,142,185,105,0.00599516599876791,15.52417469626,0.11730444743337,138.5,177.5
356,76,0.00433935824672725,54,367,170,378,184,154,0.00879291013152627,15.2643375224737,0.115341054422791,372.5,177
363,104,0.00593806917973203,82,842,172,854,194,264,0.0150735602254736,22.8035085019828,0.17230886773077,848,183
365,258,0.0147309793112583,234,824,173,842,226,954,0.0544703653602342,53.084837759948,0.401121971528765,833,199.5
373,159,0.00907839422670569,128,452,161,471,179,342,0.0195271121102726,19.6468827043885,0.148456633896406,461.5,170
378,65,0.00371129323733252,58,508,177,519,191,154,0.00879291013152627,15.8113883008419,0.119474703427007,513.5,184
379,252,0.014388398397043,120,560,177,584,201,576,0.0328877677646697,26,0.196462336513282,572,189
387,125,0.00713710237948561,82,628,179,640,198,228,0.0130180747401818,19.9248588451713,0.150557089362296,634,188.5
402,192,0.0109625892548899,124,785,182,807,206,528,0.0301471204509472,24.5153013442625,0.185243591631578,796,194
405,124,0.00708000556044972,80,113,184,126,204,260,0.0148451729493301,21.1896201004171,0.160113933644491,119.5,194
407,267,0.0152448506825813,136,742,184,762,207,460,0.026264536756507,24.3515913237718,0.184006558818646,752,195.5
